id,order_no,product_name,unit,quantity,unit_price,total_price,remark
435,"20240414006","冠军杯大师
版","支",1,446,446,""
436,"20240414006","糠饼","个",1,9.5,9.5,""
437,"20240418003","8孔伞笼","个",10,10,100,""
438,"20240418003","巨无霸","包",5,8.5,42.5,""
439,"20240418003","九一八加酒
米","包",5,8,40,""
440,"20240418003","蓝鲫X5","包",5,8.3,41.5,""
441,"20240418003","野战蓝鲫","包",5,6,30,""
442,"20240418003","地狱猫香","包",5,6.9,34.5,""
443,"20240418003","地狱猫腥","包",4,6.9,27.6,""
444,"20240418003","红湘霸","包",5,6.6,33,""
445,"20240418003","1十1草","瓶",5,4,20,""
446,"20240418003","锐鹰子线钩
袖1号","包",5,2.7,13.5,""
447,"20240418003","调位双钩","包",6,2.5,15,""
448,"20240418003","巨烽伊豆双
钩","板",12,5.8,69.6,""
449,"20240418003","手绑伊豆","板",5,11.5,57.5,""
450,"20240418003","蚯蚓","盒",30,2,60,""
451,"20240418003","鲢鳙漂","个",30,0.5,15,""
452,"20240418003","黑坑线组","付",40,5,200,""
453,"20240418003","浮底抽心","包",2,19,38,""
454,"20240418003","浮底抽心","包",3,37,111,""
455,"20240418007","亮片","个",5,3.8,19,""
456,"20240418007","米诺","个",5,4,20,""
457,"20240418007","软鱼","包",5,4,20,""
458,"20240421001","好糠饼","个",10,9.5,95,""
459,"20240421001","万能神捕","包",20,2.4,48,""
460,"20240421001","浮底抽心本
味","包",3,37,111,""
461,"20240421001","川井十字方
块钩","包",40,3.5,140,""
462,"20240422004","钓鱼王腥香","包",5,5.5,27.5,""
463,"20240422004","大号木抄网","个",3,13,39,""
464,"20240422004","中号木抄网","个",3,9,27,""
465,"20240422004","剪刀","把",12,4.5,54,""
466,"20240422004","3指网","条",5,14,70,""
467,"20240422004","菜柏饼","包",10,7.8,78,""
468,"20240422004","VB玉米","瓶",10,1.8,18,""
469,"20240422004","不锈钢抄网
杆","支",3,10,30,""
470,"20240422004","竞技鱼护","个",2,24,48,""
471,"20240422004","笼网宝","包",20,2.4,48,""
472,"20240422004","万能蚯蚓","包",20,2.4,48,""
473,"20240422004","饵料球","个",50,0.12,6,""
474,"20240422004","抄网头","个",2,12,24,""
475,"20240423002","万能神捕","包",30,2.4,72,""
476,"20240423002","笼网宝","包",20,2.4,48,""
477,"20240423002","血防鞋","双",2,28,56,""
478,"20240423002","神奇小米","瓶",5,3.8,19,""
479,"20240423002","纯玉米窝","包",5,5.6,28,""
480,"20240423002","酒糟窝","包",5,5.6,28,""
481,"20240423002","蚯蚓","盒",30,2,60,""
